price,bed,bath,acre_lot,street,city,state,zip_code,house_size
90000.0,2.0,2.0,0.09,1844124.0,Barceloneta,Puerto Rico,617.0,955.0
111000.0,3.0,2.0,0.08,1985086.0,Barceloneta,Puerto Rico,617.0,1015.0
114400.0,3.0,2.0,0.09,1855327.0,Barceloneta,Puerto Rico,617.0,1105.0
113500.0,3.0,2.0,0.14,1967757.0,Barceloneta,Puerto Rico,617.0,955.0
59200.0,2.0,1.0,0.08,594668.0,Dorado,Puerto Rico,646.0,700.0
63800.0,3.0,1.0,0.07,13692.0,Toa Baja,Puerto Rico,949.0,950.0
45000.0,3.0,2.0,0.09,1168757.0,Toa Alta,Puerto Rico,953.0,1000.0
55000.0,2.0,2.0,0.11,1913914.0,Dorado,Puerto Rico,646.0,800.0
100000.0,5.0,3.0,0.61,1547175.0,Vega Alta,Puerto Rico,692.0,1400.0
80000.0,4.0,2.0,0.19,1584559.0,Corozal,Puerto Rico,783.0,1500.0
55000.0,2.0,2.0,1.22,1913924.0,Naranjito,Puerto Rico,719.0,1500.0
157500.0,4.0,2.0,0.08,377951.0,Toa Alta,Puerto Rico,953.0,1650.0
2000000.0,3.0,3.0,0.19,780900.0,Dorado,Puerto Rico,646.0,3500.0
3500000.0,4.0,4.0,0.24,595727.0,Dorado,Puerto Rico,646.0,2500.0
270000.0,3.0,3.0,0.3,1879198.0,Toa Alta,Puerto Rico,953.0,2400.0
5000000.0,3.0,4.0,0.99,388280.0,Dorado,Puerto Rico,646.0,3500.0
172000.0,6.0,4.0,0.2,1940307.0,Naranjito,Puerto Rico,719.0,1880.0
65000.0,6.0,4.0,0.1,397849.0,Toa Alta,Puerto Rico,953.0,2600.0
1325000.0,4.0,3.0,0.19,600545.0,Dorado,Puerto Rico,646.0,2500.0
625000.0,3.0,2.0,0.37,5095.0,Vega Alta,Puerto Rico,692.0,2096.0
465000.0,3.0,2.0,0.27,1609595.0,Dorado,Puerto Rico,646.0,2200.0
575000.0,3.0,3.0,0.52,652522.0,Dorado,Puerto Rico,646.0,1500.0
1100000.0,4.0,3.0,0.14,1484017.0,Dorado,Puerto Rico,646.0,3500.0
550000.0,3.0,2.0,0.1,1837660.0,Dorado,Puerto Rico,646.0,1800.0
895000.0,4.0,3.0,0.12,1947221.0,Dorado,Puerto Rico,646.0,2490.0
495000.0,3.0,2.0,0.37,1946328.0,Vega Alta,Puerto Rico,646.0,1564.0
635000.0,3.0,2.0,0.07,6119.0,Vega Alta,Puerto Rico,692.0,2100.0
1125000.0,2.0,2.0,0.37,1854725.0,Dorado,Puerto Rico,646.0,1172.0
97000.0,1.0,2.0,0.37,1988142.0,Cabo Rojo,Puerto Rico,622.0,900.0
134000.0,3.0,1.0,0.08,1902722.0,Cabo Rojo,Puerto Rico,622.0,900.0
365000.0,4.0,2.0,0.25,1139967.0,Cabo Rojo,Puerto Rico,622.0,2800.0
